2026-08-20.csv: SKU nuevo sin catalogo -> 'Carrefour | República Artesanal | Cerveza Lager República Artesanal en lata 473 ml' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Carrefour | República Artesanal | Cerveza Honey República Artesanal en lata 473 ml' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Carrefour | República Artesanal | Cerveza Amber República Artesanal en lata 473 ml' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Carrefour | Mecklenburger | Cerveza Mecklenburger Pilsener 500 ml' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Carrefour | Denninghoffs | Cerveza Denninghoff weizen dunkel barril 5 lts' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Carrefour | Mecklenburger | Cerveza sin alcohol Mecklenburger 500 ml' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Carrefour | Apolo | Cerveza rubia Apolo 1 lt' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Carrefour | Denninghoffs | Cerveza negra Denninghoff schwarz barril 5 lts' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Carrefour | Mecklenburger | Cerveza rubia Mecklenburger Pilsener 330 ml' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Carrefour | Kunstmann | Cerveza Kunstmann Ipa 473 ml' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Carrefour | Kunstmann | Cerveza roja Torobayo Kunstmann 473 ml' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Carrefour | Barbaroja | Cerveza Barbaroja Frutada 330 ml' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Carrefour | Bierhaus | Cerveza Bierhaus Red Ipa 473 ml' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Carrefour | Asahi | Cerveza blanca Dry Asahi porrón 330 ml' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Dia | Oslava | Cerveza Lager Oslava 473 Lt.' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Dia | Oslava | Cerveza Lager Oslava 1 Lt.' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Dia | St Wendeler | Cerveza Rubia St. Wendeler 500 ml.' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Dia | Isenbeck | Cerveza Isenbeck 473 Ml.' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Dia | 361 | Cerveza Rubia 361 710 Ml.' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Dia | Brul | Cerveza Rubia Brul 1 Lt.' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Dia | St Wendeler | Cerveza Ipa St Wendeler 500 Ml.' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Dia | St Wendeler | Cerveza Lager St. Wendeler 500 Ml.' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Dia | St Wendeler | Cerveza Trigo St. Wendeler 500 Ml.' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Dia | St Wendeler | Cerveza Negra St. Wendeler 500 Ml.' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Dia | Maradona | Cerveza Rubia Maradona 1 Lt.' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Dia | Bierhaus | Cerveza Ipa Argent Bierhaus 473 Ml.' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Dia | Bierhaus | Cerveza Honey Lazybee Bierhaus 473 Ml.' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Dia | Bierhaus | Cerveza Ipa Chalaland Bierhaus 473 Ml.' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Dia | Bierhaus | Cerveza Red Ipa Timeless Bierhaus 473 Ml.' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Dia | Bierhaus | Cerveza Ipa Superstar Bierhaus 473 Ml.' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Dia | Dia | Cerveza Dorada Lata Dia 473 Ml.' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Jumbo | Landvik | Cerveza Lager 500 Ml Landvik' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Jumbo | Kunstmann | Cerveza Kunstmann Ipa Session 470cc' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Jumbo | Bierhaus | Cerveza Bierhaus Honey 473 Ml' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Jumbo | Bierhaus | Cerveza Red Ipa 473 Ml Bierhaus' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Jumbo | Bierhaus | Cerveza Scotch Momentum 473 Ml Bierhaus' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Jumbo | Bierhaus | Cerveza IPA Super Star 473 Ml Bierhaus' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Jumbo | Bierhaus | Cerveza Chalalager 473 Ml Bierhaus' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Jumbo | Kunstmann | Cerveza Torobayo Roja 470 Ml Kunstmann' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Jumbo | Asahi | Cerveza Super Dry 330 Ml Asahi' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Jumbo | Singha | Cerveza Lager 330 Ml Singha' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Jumbo | Estrella Del Sur | Cerveza Pilsen 500 Ml Estrella del Sur' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Jumbo | Bierhaus | Cerveza Argentipa 473 Cc Bierhaus' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Jumbo | Bavaria | Cerveza Rubia 500 Ml Bavaria' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Jumbo | Cusqueña | Cerveza Rubia 330 Cc Cusqueña' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Jumbo | Royal Dutch | Cerveza Lager 0.0% 330 Ml Royal Dutch' (agregado como 'Sin clasificar', revisar data/catalog.json)
2026-08-20.csv: SKU nuevo sin catalogo -> 'Jumbo | Tsingtao | Cerveza Lager 640 Ml Tsingtao' (agregado como 'Sin clasificar', revisar data/catalog.json)
