cadena;marca;descripcion;calibre;fleje;precio;descuento;promo_nominal
Carrefour;República Artesanal;Cerveza Lager República Artesanal en lata 473 ml;473 ml;1490.0;1490.0;0;
Carrefour;República Artesanal;Cerveza Honey República Artesanal en lata 473 ml;473 ml;1490.0;1490.0;0;
Carrefour;República Artesanal;Cerveza Amber República Artesanal en lata 473 ml;473 ml;1490.0;1490.0;0;
Carrefour;Corona;Cerveza blanca sin alcohol Corona 0.0% 330 ml;330 ml;3600.0;2340.0;35;2do al 70% Max 48 unidades Combinable CORONA
Carrefour;Michelob Ultra;Cerveza light Michelob Ultra 473 ml;473 ml;2725.0;1151.31;58;2do al 70% Max 48 unidades Combinable MICHELOB
Carrefour;Stella Artois;Cerveza blanca Stella Artois 473 ml;473 ml;4025.0;3018.75;25;2do al 50% Max 48 unidades Combinable STELLA ARTOIS
Carrefour;Stella Artois;Cerveza blanca Stella Artois 975 ml;975 ml;6819.0;5114.25;25;2do al 50% Max 48 unidades Combinable STELLA ARTOIS
Carrefour;Quilmes;Cerveza blanca Quilmes sin alcohol 473 ml;473 ml;2150.0;908.38;58;2do al 70% Max 48 unidades Combinable QUILMES
Carrefour;Corona;Cerveza rubia Corona 330 ml;330 ml;4546.67;3410.0;25;2do al 50% Max 48 unidades Combinable CORONA
Carrefour;Andes Origen;Cerveza rubia Andes Origen 473 ml;473 ml;3195.0;2396.25;25;2do al 50% Mi Crf Max 48 unidades Combinable ANDES
Carrefour;Quilmes;Cerveza negra Quilmes Stout 473 ml;473 ml;2589.0;1941.75;25;2do al 50% Max 48 unidades Combinable QUILMES
Carrefour;Stella Artois;Cerveza Pure Gold Stella Artois en lata 473 ml;473 ml;4139.0;3104.25;25;2do al 50% Max 48 unidades Combinable STELLA ARTOIS
Carrefour;Bajo Cero;Cerveza blanca Quilmes Bajo cero en lata 473 ml;473 ml;1619.0;1619.0;0;
Carrefour;Andes Origen;Cerveza blanca Andes Origen Oro 473 ml;473 ml;3195.0;2396.25;25;2do al 50% Mi Crf Max 48 unidades Combinable ANDES
Carrefour;Quilmes;Cerveza blanca Quilmes 1890 retornable 1 lt;1000 ml;3769.0;2826.75;25;2do al 50% Max 48 unidades Combinable QUILMES
Carrefour;Stella Artois;Cerveza blanca Stella Artois 0.0 473 ml;473 ml;3400.0;2210.0;35;2do al 70% Max 48 unidades Combinable STELLA ARTOIS
Carrefour;Corona;Cerveza rubia Corona 710 ml;710 ml;7490.0;5617.5;25;2do al 50% Max 48 unidades Combinable CORONA
Carrefour;Mecklenburger;Cerveza Mecklenburger Pilsener 500 ml;500 ml;1790.0;1790.0;0;
Carrefour;Patagonia;Cerveza roja Patagonia Amber Lager 730 ml;730 ml;7055.0;3439.31;51;2do al 50% Max 48 unidades Combinable PATAGONIA
Carrefour;Patagonia;Cerveza rubia Patagonia 24.7 Ipa Sauco 473 ml;473 ml;4960.0;2418.0;51;2do al 50% Max 48 unidades Combinable PATAGONIA
Carrefour;Budweiser;Cerveza rubia Budweiser 473 ml;473 ml;2860.0;1501.5;48;2do al 50% Max 48 unidades Combinable BUDWEISER
Carrefour;Brahma;Cerveza rubia Brahma 354 ml;354 ml;1669.0;876.22;48;2do al 50% Max 48 unidades Combinable BRAHMA
Carrefour;Stella Artois;Cerveza Pure Gold Stella Artois en porrón 330 ml;330 ml;4189.0;3141.75;25;2do al 50% Max 48 unidades Combinable STELLA ARTOIS
Carrefour;Denninghoffs;Cerveza Denninghoff weizen dunkel barril 5 lts;-;36990.0;22990.0;38;
Carrefour;Heineken;Cerveza sin alcohol Heineken en lata 473 ml;473 ml;3100.0;3100.0;0;
Carrefour;Mecklenburger;Cerveza sin alcohol Mecklenburger 500 ml;500 ml;1690.0;1690.0;0;
Carrefour;Apolo;Cerveza rubia Apolo 1 lt;1000 ml;1990.0;1990.0;0;
Carrefour;Stella Artois;Cerveza blanca Stella Artois 330 ml;330 ml;4079.0;3059.25;25;2do al 50% Max 48 unidades Combinable STELLA ARTOIS
Carrefour;Amstel;Cerveza blanca Amstel Lager pura malta 473 ml;473 ml;2725.0;2725.0;0;
Carrefour;Andes Origen;Cerveza rubia Andes Origen 710 ml;710 ml;4630.0;3472.5;25;2do al 50% Mi Crf Max 48 unidades Combinable ANDES
Carrefour;Stella Artois;Cerveza blanca Stella Artois 710 ml;710 ml;5970.0;4477.5;25;2do al 50% Max 48 unidades Combinable STELLA ARTOIS
Carrefour;Budweiser;Cerveza blanca Budweiser 710 ml;710 ml;4139.0;2172.98;47;2do al 50% Max 48 unidades Combinable BUDWEISER
Carrefour;Quilmes;Cerveza blanca Quilmes Ipa 473 ml;473 ml;2589.0;1941.75;25;2do al 50% Max 48 unidades Combinable QUILMES
Carrefour;Stella Artois;Cerveza negra Stella Artois Noire 473 ml;473 ml;4025.0;3018.75;25;2do al 50% Max 48 unidades Combinable STELLA ARTOIS
Carrefour;Guinness;Cerveza Guinnes Extra Stout 473 ml;473 ml;4300.0;2795.0;35;2do al 70% Max 48 unidades Combinable GUINNES
Carrefour;Patagonia;Cerveza Vera Ipa Patagonia 730 ml;730 ml;7055.0;3439.31;51;2do al 50% Max 48 unidades Combinable PATAGONIA
Carrefour;Pampa Brewing;Cerveza Pampa Brewing Ipa 473 ml;473 ml;3300.0;3300.0;0;
Carrefour;Andes Origen;Cerveza rubia Andes Origen Ipa 473 ml;473 ml;3335.0;2501.25;25;2do al 50% Mi Crf Max 48 unidades Combinable ANDES
Carrefour;Andes;Cerveza Andes Ipa retornable 1 lt;1000 ml;5729.0;4296.75;25;2do al 50% Mi Crf Max 48 unidades Combinable ANDES
Carrefour;Patagonia;Cerveza roja Patagonia Amber Lager 473 ml;473 ml;4960.0;2418.0;51;2do al 50% Max 48 unidades Combinable PATAGONIA
Carrefour;Andes Origen;Cerveza roja Andes Origen 1 lt;1000 ml;5729.0;4296.75;25;2do al 50% Mi Crf Max 48 unidades Combinable ANDES
